AA,2476,BDL,MIA,-6,1194,20
DL,1332,RSW,ATL,0,515,-8
DL,2135,TPA,LGA,-6,1010,-11
DL,2276,MCO,LGA,-2,950,-7
DL,2566,SFO,MSP,-4,1589,-5
EV,2506,CRP,DFW,-2,354,-11
EV,2555,SHV,DFW,16,190,14
EV,2561,BTR,DFW,-1,383,8
EV,2537,MLU,DFW,3,293,-10
MQ,3476,CHS,MIA,-6,489,11
MQ,3589,GSO,MIA,-3,710,-1
NK,705,LGA,FLL,108,1076,97
NK,567,DTW,ATL,-2,594,-11
NK,417,DTW,FLL,3,1127,-16
OO,3456,PDX,BUR,-2,817,-3
OO,5492,MSN,ORD,3,108,17
OO,6495,COS,LAX,-6,833,-20
OO,5291,GCC,DEN,0,313,-16
UA,536,LAX,IAH,-8,1379,-22
UA,259,SNA,IAH,8,1346,-15
UA,792,BUF,ORD,33,473,37
VX,922,SFO,LAX,-7,337,-16
WN,3213,DAL,MDW,4,793,-26
WN,2599,LIT,DAL,3,296,-2
WN,2199,MHT,MCO,0,1142,-18
WN,3739,ALB,MCO,-1,1073,-29
WN,1188,SAT,BWI,-3,1407,-25
WN,4563,OKC,ATL,-4,761,2
US,593,SNA,PHX,0,338,-12
AA,1107,LGA,DFW,-4,1389,-3
AA,1234,LAS,ORD,-4,1514,-18
AA,1283,BNA,MIA,-4,806,-12
AA,1287,MSP,MIA,29,1501,16
AA,1300,SNA,DFW,0,1205,-14
AA,2326,MIA,DCA,33,919,31
